종목코드,종목명,시장구분,소속부,소속부,업종코드,업종명,결산월,지정자문인,상장주식수,액면가,자본금,통화구분,대표이사,대표전화,주소
"023460","CNH","KOSDAQ","벤처기업부",,"116402","신탁업 및 집합투자업","12",,"37200000","2500","93000000000","원(KRW)","임영기,김양수(각자 대표이사)","02-3287-0700","경기도 부천시 원미구 상일로 120 411(상동,송내리더스텔)"
"056730","CNT85","KOSDAQ","관리종목(소속부없음)",,"074607","기타 전문 도매업","12",,"70703912","500","35351956000","원(KRW)","박종승","02-3467-2700","경기도 안양시 동안구 학의로 268 6층 625호(관양동,안양메가밸리)"
"065770","CS","KOSDAQ","벤처기업부",,"032604","통신 및 방송 장비 제조업","12",,"19411130","500","9705565000","원(KRW)","최규훈","031-622-3200","경기도 성남시 분당구 판교로228번길 15 윈스동 10층 (삼평동 판교세븐벤처밸리1)"
"083660","CSA 코스믹","KOSDAQ","중견기업부",,"032004","기타 화학제품 제조업","12",,"39259818","500","19629909000","원(KRW)","조성아","02-483-0077","서울특별시 강남구 학동로30길 20 -"
"404950","DB금융스팩10호","KOSDAQ","SPAC(소속부없음)",,"116409","기타 금융업","12",,"5840000","100","584000000","원(KRW)","정근호","02-369-3521","서울특별시 영등포구 국제금융로8길 32 "
"367340","DB금융스팩8호","KOSDAQ","SPAC(소속부없음)",,"116409","기타 금융업","12",,"6050000","100","605000000","원(KRW)","홍창배","02-369-3972","서울특별시 영등포구 국제금융로8길 32 "
"367360","DB금융스팩9호","KOSDAQ","SPAC(소속부없음)",,"116601","금융 지원 서비스업","12",,"4840000","100","484000000","원(KRW)","김창희","02-369-3972","서울특별시 영등포구 국제금융로8길 32 "
"068790","DMS","KOSDAQ","우량기업부",,"032902","특수 목적용 기계 제조업","12",,"24573061","500","12286530500","원(KRW)","박용석","031-8031-1133","경기도 용인시 기흥구 흥덕중앙로 120 유타워 6층 (영덕동)"
"241520","DSC인베스트먼트","KOSDAQ","벤처기업부",,"116402","신탁업 및 집합투자업","12",,"27811403","500","13905701500","원(KRW)","윤건수","02-3453-3190","서울특별시 성동구 뚝섬로1길 10 (성수동1가) 3층"
"245620","EDGC","KOSDAQ","기술성장기업부","기술성장기업","137001","자연과학 및 공학 연구개발업","12",,"84055931","100","8405593100","원(KRW)","각자대표이사 신상철, 조성민","032-713-2100","인천광역시 연수구 하모니로 291, 4층 &nbsp"
"037370","EG","KOSDAQ","중견기업부",,"064102","토목 건설업","12",,"8287477","1000","8287477000","원(KRW)","박지만","041 -750 -7777","충청남도 금산군 추부면 서대산로 459 "
"050120","ES큐브","KOSDAQ","중견기업부",,"074604","생활용품 도매업","12",,"13564086","5000","69092013500","원(KRW)","신희민","02-3446-4875","서울특별시 강남구 강남대로 556 12층(논현동, 논현빌딩) "
"084180","EV수성","KOSDAQ","중견기업부",,"032901","일반 목적용 기계 제조업","12",,"61491577","500","30745788500","원(KRW)","김대진, 김덕진 (각자 대표이사)","032-818-5160","인천광역시 서구 로봇랜드로249번길 46-39 "
"214270","FSN","KOSDAQ","중견기업부",,"105802","소프트웨어 개발 및 공급업","12",,"27904552","500","13952276000","원(KRW)","이상석, 서정교 (각자 대표이사)","02-541-3126","서울특별시 강남구 언주로 637 싸이칸타워 "
"130500","GH신소재","KOSDAQ","중견기업부",,"031309","기타 섬유제품 제조업","12",,"14545052","500","7272526000","원(KRW)","우희구","054-460-8100","경상북도 구미시  1공단로4길 141-54 "
"900290","GRT","KOSDAQ","외국기업(소속부없음)",,"116409","기타 금융업","06",,"67375000","무액면","770089223","중국위안(CNY)","주영남","85236458129","Room 01, 21F, Prosper Commercial Building, 9 Yin Chong Street, Kowloon, Hong Kong "
"083450","GST","KOSDAQ","우량기업부",,"032902","특수 목적용 기계 제조업","12",,"9317745","500","4658872500","원(KRW)","김덕준, 장광수(각자대표)","031-371-2200","경기도 화성시 동탄면 동탄산단6길 15-13 "
"297890","HB솔루션","KOSDAQ","중견기업부",,"032902","특수 목적용 기계 제조업","12",,"16713053","500","8356526500","원(KRW)","이흥근, 이재원(공동 대표이사)","041-549-8850","충청남도 아산시 음봉면 연암율금로 77-26 "
"078150","HB테크놀러지","KOSDAQ","우량기업부",,"032902","특수 목적용 기계 제조업","12",,"78990426","500","39495213000","원(KRW)","문성준","031-332-0060","충청남도 아산시 음봉면 산동로 87 "
"195940","HK이노엔","KOSDAQ","중견기업부",,"032102","의약품 제조업","12",,"28904499","500","14452249500","원(KRW)","곽달원","02-6477-0000","서울특별시 중구 을지로 100 (을지로 2가, 파인에비뉴 에이동) "
"028300","HLB","KOSDAQ","중견기업부",,"033101","선박 및 보트 건조업","12",,"106610064","500","53305032000","원(KRW)","진양곤, 김동건 (각자대표)","02-3453-4414","울산광역시 울주군  온산읍 당월로 216-53 "
"067630","HLB생명과학","KOSDAQ","중견기업부",,"137201","건축기술, 엔지니어링 및 관련 기술 서비스업","12",,"95498081","500","47749040500","원(KRW)","남상우, 한용해(각자대표)","02-2627-6700","경기도 화성시 동탄첨단산업1로 51-9 8층(영천동,엠타워지식산업센터)"
"047920","HLB제약","KOSDAQ","기술성장기업부","기술성장기업","137001","자연과학 및 공학 연구개발업","12",,"26624932","500","13312466000","원(KRW)","박재형, 전복환 각자대표","02-411-1514","경기도 남양주시 경강로 27 "
"115450","HLB테라퓨틱스","KOSDAQ","중견기업부",,"074607","기타 전문 도매업","12",,"31335211","500","15667605500","원(KRW)","안기홍","031-786-7800","경기도 성남시 분당구  정자일로 248 2201 "
"036640","HRS","KOSDAQ","중견기업부",,"032002","합성고무 및 플라스틱 물질 제조업","12",,"16354800","500","8177400000","원(KRW)","김진성","02  -780 -6156","경기도 평택시  팽성읍 추팔산단2길 7 "
"335870","IBKS제12호스팩","KOSDAQ","SPAC(소속부없음)",,"116601","금융 지원 서비스업","12",,"3120000","100","312000000","원(KRW)","김판석","02-6915-5573","서울특별시 영등포구 국제금융로6길 11 &nbsp"
"351340","IBKS제13호스팩","KOSDAQ","SPAC(소속부없음)",,"116601","금융 지원 서비스업","12",,"5170000","100","517000000","원(KRW)","김강민","02-6915-5361","서울특별시 영등포구 국제금융로6길 11 (여의도동, 삼덕빌딩) "
"388790","IBKS제16호스팩","KOSDAQ","SPAC(소속부없음)",,"116601","금융 지원 서비스업","12",,"3410000","100","341000000","원(KRW)","전구택","02-6915-5356","서울특별시 영등포구 국제금융로6길 11 "
"405350","IBKS제17호스팩","KOSDAQ","SPAC(소속부없음)",,"116601","금융 지원 서비스업","12",,"2720000","100","272000000","원(KRW)","이경준","02-6915-5331","서울특별시 영등포구 국제금융로6길 11 "
"095340","ISC","KOSDAQ","우량기업부",,"032602","전자부품 제조업","12",,"17399471","500","8699735500","원(KRW)","김정렬, 김상욱 (각자 대표이사)","031-777-7675","경기도 성남시 중원구  갈마치로 215 (상대원동, 금강펜테리움IT타워 6층)"
"099520","ITX-AI","KOSDAQ","관리종목(소속부없음)",,"032605","영상 및 음향기기 제조업","12",,"29301683","500","14650841500","원(KRW)","박상열, 유건상 (각자 대표이사)","02-2082-8500","서울특별시 금천구  가산디지털1로 212 코오롱디지털타워애스턴 906호"
"950170","JTC","KOSDAQ","외국기업(소속부없음)",,"074701","종합 소매업","02",,"35005517","무액면","0","일본엔(JPY)","구철모","02-785-9101","6F Hakata Prestige Bldg., 2-17-1, Hakata-ekimae, Hakata-Ku,Fukuoka 8120011, Japan "
"067290","JW신약","KOSDAQ","중견기업부",,"032102","의약품 제조업","12",,"46127437","500","23063718500","원(KRW)","백승호","02-840-6111","서울특별시 서초구 남부순환로 2477 "
"035900","JYP Ent.","KOSDAQ","우량기업부",,"105902","오디오물 출판 및 원판 녹음업","12",,"35497492","500","17943451500","원(KRW)","정욱","02-2225-8100","서울특별시 강동구 강동대로 205 (성내동, JYP Center 빌딩) "
"318000","KBG","KOSDAQ","벤처기업부",,"032002","합성고무 및 플라스틱 물질 제조업","12",,"8229825","200","1645965000","원(KRW)","송정섭, 부삼열(각자 대표이사)","041-523-6201","충청남도 천안시 동남구 성남면 대흥신덕길 84-19 "
"024840","KBI메탈","KOSDAQ","우량기업부",,"032402","1차 비철금속 제조업","12",,"32950848","500","16475424000","원(KRW)","김재충","053-610-5610","대구광역시 달성군 논공읍 논공로87길 88 갑을메탈 대구공장"
"024120","KB오토시스","KOSDAQ","우량기업부",,"033003","자동차 신품 부품 제조업","12",,"11500000","500","5750000000","원(KRW)","김신완","041-537-5345","충청남도 아산시  음봉면 아산온천로 528-24 "
"021320","KCC건설","KOSDAQ","우량기업부",,"064101","건물 건설업","12",,"21400000","5000","107000000000","원(KRW)","정몽열,윤희영","02-513-5500","서울특별시 서초구  강남대로 587 KCC 건설 "
"036670","KCI","KOSDAQ","우량기업부",,"032004","기타 화학제품 제조업","12",,"11270000","500","5635000000","원(KRW)","이진용","031 -497 -6411","충남 서산시 대산읍 대죽리 13-7 "
"044180","KD","KOSDAQ","중견기업부",,"064101","건물 건설업","12",,"24848641","500","12424320500","원(KRW)","안태일","070-5138-4366","경기도 안산시 단원구 광덕서로 102 406-3호"
"151860","KG ETS","KOSDAQ","우량기업부",,"053802","폐기물 처리업","12",,"36000000","500","20051860000","원(KRW)","엄기민","031-488-1122","경기도 시흥시  소망공원로 5 (정왕동) KG ETS(주)"
"046440","KG모빌리언스","KOSDAQ","우량기업부",,"105802","소프트웨어 개발 및 공급업","12",,"38825568","500","19412784000","원(KRW)","고규영","(02)2192-2000","서울특별시 중구 통일로 92 케이지타워 16층"
"035600","KG이니시스","KOSDAQ","우량기업부",,"105802","소프트웨어 개발 및 공급업","12",,"27904434","500","13952217000","원(KRW)","유승용","02-1588-4954","서울특별시 중구 통일로 92 케이지타워 14,15층"
"226360","KH 건설","KOSDAQ","벤처기업부",,"064102","토목 건설업","12",,"76199569","100","7619956900","원(KRW)","강정식","02-6114-0920","서울특별시 금천구 가산디지털1로 165 1401호, 1402호 (가산동)"
"111870","KH 일렉트론","KOSDAQ","중견기업부",,"032605","영상 및 음향기기 제조업","12",,"128254851","500","64127425500","원(KRW)","배보성","032-683-7300","경기도 부천시 오정구  삼작로107번길 52 "
"060720","KH바텍","KOSDAQ","중견기업부",,"032602","전자부품 제조업","12",,"23677442","500","11838721000","원(KRW)","남광희","054-465-0630","경상북도 구미시  1공단로10길 53-12 (주)KH바텍 "
"122450","KMH","KOSDAQ","중견기업부",,"106002","텔레비전 방송업","12",,"45335964","500","22768238500","원(KRW)","한찬수, 이강봉(각자 대표이사)","02-2647-1255","서울특별시 양천구  목동서로 201 KT정보전산센터 7층"
"052900","KMH하이텍","KOSDAQ","중견기업부",,"032202","플라스틱제품 제조업","12",,"51628046","500","25814023000","원(KRW)","이상국","(041)539-6114","충청남도 아산시  음봉면 연암율금로 330 비아이이엠티 "
"058400","KNN","KOSDAQ","우량기업부",,"106002","텔레비전 방송업","12",,"132429720","500","66214860000","원(KRW)","이오상","051-850-9000","부산광역시 해운대구  센텀서로 30 케이엔엔타워 "
"114450","KPX생명과학","KOSDAQ","중견기업부",,"032101","기초 의약물질 및 생물학적 제제 제조업","12",,"15000000","500","7500000000","원(KRW)","양준화, 이기성(각자 대표이사)","061-688-4600","전라남도 여수시 여수산단2로 84 "
"060370","KT서브마린","KOSDAQ","중견기업부",,"064203","전기 및 통신 공사업","12",,"21900000","1000","21900000000","원(KRW)","이승용","(051)704-0004","부산광역시 해운대구 송정광어골로 42  "
"108320","LX세미콘","KOSDAQ","우량기업부",,"032601","반도체 제조업","12",,"16264300","500","8132150000","원(KRW)","손보익","042-712-7700","대전광역시 유성구  테크노2로 222 "
"160550","NEW","KOSDAQ","중견기업부",,"105901","영화, 비디오물, 방송프로그램 제작 및 배급업","12",,"27906106","500","13953053000","원(KRW)","김우택","02-3490-9300","서울특별시 강남구 학동로9길 5 - "
"053290","NE능률","KOSDAQ","중견기업부",,"105801","서적, 잡지 및 기타 인쇄물 출판업","12",,"16526307","500","8263153500","원(KRW)","주민홍","02-2014-7114","서울특별시 마포구 월드컵북로 396 누리꿈스퀘어 비즈니스타워 10층 "
"104200","NHN벅스","KOSDAQ","중견기업부",,"105802","소프트웨어 개발 및 공급업","12",,"14827550","500","7413775000","원(KRW)","왕문주","031-8038-2947","경기도 성남시 분당구 대왕판교로645번길 16 플레이뮤지엄"
"060250","NHN한국사이버결제","KOSDAQ","우량기업부",,"106309","기타 정보 서비스업","12",,"40160611","500","20080305500","원(KRW)","박준석","(02)2108-1000","서울특별시 구로구 디지털로26길 72 - "
"030190","NICE평가정보","KOSDAQ","우량기업부",,"106309","기타 정보 서비스업","12",,"60714820","500","30357410000","원(KRW)","신희부","02-2122-4000","서울특별시 영등포구 은행로 17 NICE 그룹1사옥 "
"024940","PN풍년","KOSDAQ","벤처기업부",,"032509","기타 금속 가공제품 제조업","12",,"10000000","500","5000000000","원(KRW)","유재원","031-491-2965","경기도 안산시 단원구 별망로 620 "
"218410","RFHIC","KOSDAQ","우량기업부",,"032604","통신 및 방송 장비 제조업","12",,"26786434","500","13393217000","원(KRW)","조덕수","031-8069-3016","경기도 안양시 동안구 부림로 170 41-14(관양동)"
"327260","RF머트리얼즈","KOSDAQ","벤처기업부",,"032602","전자부품 제조업","12",,"8097697","500","4048848500","원(KRW)","남동우","031-499-2817","경기도 안산시 단원구 강촌로 213, 215(목내동) ."
"091340","S&K폴리텍","KOSDAQ","중견기업부",,"032602","전자부품 제조업","12",,"11703721","500","5851860500","원(KRW)","강원형","031-432-8061","경기도 안산시 단원구 시화벤처로 515 성곡동 808-6번지"
"019550","SBI인베스트먼트","KOSDAQ","벤처기업부",,"116402","신탁업 및 집합투자업","12",,"162066575","500","83533287500","원(KRW)","공동대표이사 이준효
공동대표이사 소우에이이치로","02-2139-9200","서울특별시 강남구 테헤란로 509엔씨타워1 14층 "
"950110","SBI핀테크솔루션즈","KOSDAQ","외국기업(소속부없음)",,"105802","소프트웨어 개발 및 공급업","03",,"24052540","무액면","0","일본엔(JPY)","카네코 유이치","81-3-3498-5011","일본 동경 시부야구 시부야 2-1-1, 아오야마 퍼스트 빌딩 "
"046140","SBS콘텐츠허브","KOSDAQ","우량기업부",,"105901","영화, 비디오물, 방송프로그램 제작 및 배급업","12",,"21463555","500","10731777500","원(KRW)","김휘진","02-2001-0631","서울특별시 마포구 상암산로 82 상암동, 에스비에스프리즘타워 "
"151910","SBW생명과학","KOSDAQ","중견기업부",,"032602","전자부품 제조업","12",,"177134118","100","17713411800","원(KRW)","홍진의","031-240-3900","경기도 화성시 마도면 마도공단로2길 4 -"
"036120","SCI평가정보","KOSDAQ","중견기업부",,"106309","기타 정보 서비스업","12",,"35500000","500","17750000000","원(KRW)","임동훈","02  -3445-5000","서울특별시 마포구  토정로 144 건양사빌딩 "
"099220","SDN","KOSDAQ","우량기업부",,"074605","기계장비 및 관련 물품 도매업","12",,"54106769","500","27053384500","원(KRW)","최기혁","02-446-6691","경기도 성남시 수정구 대왕판교로 1281 - "
"036540","SFA반도체","KOSDAQ","우량기업부",,"032601","반도체 제조업","12",,"164460303","500","82487451500","원(KRW)","김영민","041 -529 -0708","충청남도 천안시 서북구  백석공단7로 16 STS반도체통신(주) "
"255220","SG","KOSDAQ","중견기업부",,"032309","기타 비금속 광물제품 제조업","12",,"44649909","100","4464990900","원(KRW)","박창호","032-574-6525","인천광역시 서구 봉수대로300번길 15, 300번길 9 &nbsp"
"040610","SG&G","KOSDAQ","중견기업부",,"033003","자동차 신품 부품 제조업","12",,"34087196","500","17043598000","원(KRW)","이 의 범","02-2105-6315","경기도 안산시 단원구 원시로 239-10 (원시동)"
"049470","SGA","KOSDAQ","중견기업부",,"105802","소프트웨어 개발 및 공급업","12",,"52862249","1000","52862249000","원(KRW)","김신환","070-7308-9319","서울특별시 송파구 정의로8길 4 케이디70, 1004호 "
"184230","SGA솔루션즈","KOSDAQ","벤처기업부",,"105802","소프트웨어 개발 및 공급업","12",,"47187224","100","4718722400","원(KRW)","최영철","02-574-6856","서울특별시 송파구 정의로8길 9 에이제이빌딩 6층 "
"016250","SGC이테크건설","KOSDAQ","우량기업부",,"064101","건물 건설업","12",,"2599445","5000","12997225000","원(KRW)","이복영, 안찬규","02-489-9000","서울특별시 서초구 양재대로 246(염곡동) "
"337450","SK5호스팩","KOSDAQ","SPAC(소속부없음)",,"116601","금융 지원 서비스업","12",,"4310000","100","431000000","원(KRW)","우종민","02-3773-8227","서울특별시 영등포구 국제금융로8길 31, 4층 "
"340350","SK6호스팩","KOSDAQ","SPAC(소속부없음)",,"116601","금융 지원 서비스업","12",,"5710000","100","571000000","원(KRW)","송문규","02-3773-9131","서울특별시 영등포구 국제금융로8길 31, 4층 "
"048550","SM C&C","KOSDAQ","중견기업부",,"137103","광고업","12",,"95607120","500","47803560000","원(KRW)","김동준, 남궁철","02-6233-6400","서울특별시 성동구 왕십리로 83-21 디타워동 14층(성수동1가, 아크로 서울포레스트)"
"063440","SM Life Design","KOSDAQ","중견기업부",,"031802","기록매체 복제업","12",,"45629154","500","23174577000","원(KRW)","탁영준","031-955-7171","경기도 파주시 직지길 376 "
"950180","SNK","KOSDAQ","외국기업(소속부없음)",,"105802","소프트웨어 개발 및 공급업","07",,"21061800","무액면","0","일본엔(JPY)","마츠바라 켄지","+81-06-6339-6362","1-16-17, Esakacho, Suitasi, Osaka, Japan "
"289080","SV인베스트먼트","KOSDAQ","중견기업부",,"116409","기타 금융업","03",,"53234000","500","26617000000","원(KRW)","박성호, 홍원호","02-3775-1020","서울특별시 영등포구 국제금융로 10 46층 (여의도동, 쓰리아이에프씨)"
"089230","THE E&M","KOSDAQ","중견기업부",,"106309","기타 정보 서비스업","12",,"173450191","100","17345019100","원(KRW)","신환률, 김대권(각자대표)","02-2088-8222","서울특별시 서초구 강남대로101안길 41 . "
"161570","THE MIDONG","KOSDAQ","중견기업부",,"032605","영상 및 음향기기 제조업","12",,"15582830","500","7791415000","원(KRW)","후성양(HU SHENGYANG)","070-7425-0614","서울특별시 서초구 남부순환로 2652 대명빌딩 7층 "
"192410","THQ","KOSDAQ","중견기업부",,"032604","통신 및 방송 장비 제조업","12",,"28929899","500","14464949500","원(KRW)","김상기, 위청드어 공동 대표이사","02-6291-0951","서울특별시 중구 세종대로 136 7층(태평로1가, 서울파이낸스센터) "
"032540","TJ미디어","KOSDAQ","중견기업부",,"032605","영상 및 음향기기 제조업","12",,"13931609","500","6965804500","원(KRW)","윤나라","02  -3663-4700","서울특별시 마포구 월드컵북로 434 (상암동 1590) 상암아이티타워 8층 "
"048770","TPC","KOSDAQ","중견기업부",,"032901","일반 목적용 기계 제조업","12",,"15478339","500","7739169500","원(KRW)","엄주섭, 엄재윤","032 -572 -1700","인천광역시 서구 갑문2로 39 (오류동) 단해창도클러스터 "
"246690","TS인베스트먼트","KOSDAQ","중견기업부",,"116402","신탁업 및 집합투자업","12",,"39125879","500","19562939500","원(KRW)","김웅","02-6250-5700","서울특별시 강남구 선릉로 531, 3층 302호 "
"317240","TS트릴리온","KOSDAQ","벤처기업부",,"032004","기타 화학제품 제조업","12",,"92679035","100","9267903500","원(KRW)","장기영","02-2122-9226","서울특별시 영등포구 양평로 96 1층,6층,8층(양평동4가,티에스빌딩)"
"038340","UCI","KOSDAQ","투자주의환기종목(소속부없음)",,"168505","일반 교습 학원","12",,"12465789","500","6282894500","원(KRW)","김택환","(02)3438-6900","서울특별시 구로구 디지털로33길 48 604호(구로동, 대륭포스트타워7차)"
"073570","WI","KOSDAQ","중견기업부",,"033309","그외 기타 제품 제조업","12",,"80904873","100","8090487300","원(KRW)","변익성(단독대표)","041-582-5700","충청남도 천안시 서북구 직산읍 4산단7로 17-15 -"
"057030","YBM넷","KOSDAQ","중견기업부",,"168507","교육지원 서비스업","12",,"16312697","500","8156348500","원(KRW)","오재환","(02) 2008-5200","서울특별시 종로구 종로 98 지상 4층~9층 "
"040300","YTN","KOSDAQ","중견기업부",,"105901","영화, 비디오물, 방송프로그램 제작 및 배급업","12",,"42000000","1000","42000000000","원(KRW)","우장균","(02) 398-8000","서울특별시 마포구 상암산로 76와이티엔뉴스퀘어 "
"051390","YW","KOSDAQ","중견기업부",,"074608","상품 종합 도매업","12",,"11355368","500","5677684000","원(KRW)","우병일","(031)703-7118","경기도 성남시 분당구  야탑남로 280 801(야탑동,분당테크노파크씨동)"
"052220","iMBC","KOSDAQ","중견기업부",,"106301","자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","12",,"23000000","500","11500000000","원(KRW)","박태경","02-2105-1100","서울특별시 마포구 성암로 25510층(상암동, 문화방송미디어센터) "
"079940","가비아","KOSDAQ","우량기업부",,"105802","소프트웨어 개발 및 공급업","12",,"13535684","500","6767842000","원(KRW)","김홍국","1544-4370","경기도 성남시 분당구  대왕판교로 660 유스페이스1 B동 401호,501호"
"078890","가온미디어","KOSDAQ","우량기업부",,"032604","통신 및 방송 장비 제조업","12",,"16155561","500","8077780500","원(KRW)","임동연","031-724-8500","경기도 성남시 분당구  성남대로 884-3 "
"036620","감성코퍼레이션","KOSDAQ","중견기업부",,"074607","기타 전문 도매업","12",,"79626260","500","39813130000","원(KRW)","김호선","02  -333 -3012","서울특별시 서초구 방배로 162 서울시 서초구 방배로 162, 4층(예광빌딩) "
"217730","강스템바이오텍","KOSDAQ","기술성장기업부","기술성장기업","032101","기초 의약물질 및 생물학적 제제 제조업","12",,"37937925","500","18968962500","원(KRW)","나종천","02-888-1590","서울특별시 강남구 테헤란로 512 신안빌딩 17층"
"114190","강원에너지","KOSDAQ","관리종목(소속부없음)",,"032501","구조용 금속제품, 탱크 및 증기발생기 제조업","12",,"26123038","500","13061519000","원(KRW)","이인환","031-358-7683","전라북도 군산시 자유무역1길 60 웰크론강원 510-9, 510-10, 510-12"
"094480","갤럭시아머니트리","KOSDAQ","우량기업부",,"105802","소프트웨어 개발 및 공급업","12",,"39229838","500","19614919000","원(KRW)","신동훈","070-4193-4023","서울시 강남구 수서동 715번지 수서오피스 빌딩 12층 "
"039240","경남스틸","KOSDAQ","우량기업부",,"032401","1차 철강 제조업","12",,"26979604","100","2697960400","원(KRW)","최석우","055-297-9700","경남 창원시 웅남동 61-46번지 "
"053950","경남제약","KOSDAQ","중견기업부",,"032102","의약품 제조업","12",,"30849565","500","15424782500","원(KRW)","홍상혁","02-3490-5105","경상남도 의령군 동동리 1539-5 "
"011040","경동제약","KOSDAQ","우량기업부",,"032102","의약품 제조업","12",,"30768766","500","15684383000","원(KRW)","류기성, 김경훈(각자 대표)","02  -576 -6121","경기도 화성시  양감면 제약단지로 224-3 "
"024910","경창산업","KOSDAQ","중견기업부",,"033003","자동차 신품 부품 제조업","12",,"35819005","500","17909502500","원(KRW)","손일호, 강기봉","053 -560 -0141","대구광역시 달서구 성서로35길 6 월암동"
"198440","고려시멘트","KOSDAQ","우량기업부",,"032303","시멘트, 석회, 플라스터 및 그 제품 제조업","12",,"31979960","100","3197996000","원(KRW)","구희택","061-390-6575","전라남도 장성군 장성읍 영천로 35 고려시멘트"
"049720","고려신용정보","KOSDAQ","중견기업부",,"147509","기타 사업지원 서비스업","12",,"14300000","500","7150000000","원(KRW)","윤태훈","02-3450-9000","서울특별시 서초구 서초대로 353 (서초동, 유니온타워)"
"014570","고려제약","KOSDAQ","우량기업부",,"032102","의약품 제조업","12",,"11000000","500","5500000000","원(KRW)","박해룡, 박상훈 (각자대표)","02-529-6100","경기도 이천시  신둔면 원적로 69-10 "
"348150","고바이오랩","KOSDAQ","기술성장기업부","기술성장기업","137001","자연과학 및 공학 연구개발업","12",,"16815519","500","8407759500","원(KRW)","고광표, 박철원","02-888-9964","서울특별시 관악구 관악로 1 220동 745-1호(신림동, 서울대학교종합연구동)"
"098460","고영","KOSDAQ","우량기업부",,"032902","특수 목적용 기계 제조업","12",,"68654755","100","6865475500","원(KRW)","고광일","02-6343-6000","서울특별시 금천구 가산디지털2로 53 (가산동, 한라시그마밸리 14층, 15층)"
"035290","골드앤에스","KOSDAQ","관리종목(소속부없음)",,"105801","서적, 잡지 및 기타 인쇄물 출판업","12",,"36223910","500","18111955000","원(KRW)","신승호","02-565-4874","서울특별시 영등포구 국회대로74길 12 9층 901호 (여의도동,남중빌딩) "
"038530","골드퍼시픽","KOSDAQ","중견기업부",,"074604","생활용품 도매업","12",,"92016431","500","46008215500","원(KRW)","조정영","02-2029-0700","서울특별시 구로구 디지털로30길 28 7층, 702호(구로동, 마리오타워)"
"900280","골든센츄리","KOSDAQ","외국기업(소속부없음)",,"116409","기타 금융업","12",,"176573591","0.2","35314718","미국달러(USD)","주승화","02-780-8863","P. O. Box 31119 Grand Pavilion, Hibiscus Way, 802 West Bay Road, Grand Cayman, KY1 - 1205 Cayman Islands -"
"215000","골프존","KOSDAQ","우량기업부",,"105802","소프트웨어 개발 및 공급업","12",,"6275415","500","3137707500","원(KRW)","최덕형, 박강수","1577-4333","서울특별시 강남구 영동대로 735 - "
"121440","골프존뉴딘홀딩스","KOSDAQ","중견기업부",,"074601","상품 중개업","12",,"42836818","500","21418409000","원(KRW)","최덕형","042-862-8109","서울특별시 강남구 영동대로 735- "
"366030","공구우먼","KOSDAQ","중견기업부",,"074704","섬유, 의복, 신발 및 가죽제품 소매업","12",,"3672100","100","367210000","원(KRW)","김주영",,"경기도 양주시 평화로 1525 "
"014200","광림","KOSDAQ","중견기업부",,"033001","자동차용 엔진 및 자동차 제조업","12",,"77966424","500","38983212000","원(KRW)","성석경","043-260-9111","충청북도 청원군  현도면 청남로 484 (주)광림 "
